Time,Wind_Speed,Air_Pressure,Snow_Depth,Precip,Avg_Temp,Max_Temp,Min_Temp,Year,Month,Day
2019-08-01,4.8,23.376218487394958,0,0.06666666666666667,60.6,79.3,49.1,2019,8,1
2019-08-02,3.5,23.42621848739496,0,0.2,62.6,81.7,47.1,2019,8,2
2019-08-03,2.8,23.42621848739496,0,0.06666666666666667,61.3,77,45.7,2019,8,3
2019-08-04,3.3,23.35621848739496,0,0.04285714285714286,65.1,81.1,48.6,2019,8,4
2019-08-05,4.1,23.376218487394958,0,0.2,61.5,77.9,48.2,2019,8,5
2019-08-06,3.1,23.35621848739496,0,0.04285714285714286,62.6,76.8,47.8,2019,8,6
2019-08-07,3,23.316218487394956,0,0.04285714285714286,62.6,77.7,48.6,2019,8,7
2019-08-08,3.3,23.286218487394958,0,0.04285714285714286,63.5,77.7,51.1,2019,8,8
2019-08-09,2.7,23.26621848739496,0,0.04285714285714286,57.7,72,48.2,2019,8,9
2019-08-10,3.8,23.296218487394956,0,0.1,58.3,72.7,45.5,2019,8,10
2019-08-11,5.8,23.26621848739496,0,0.028571428571428574,52.9,65.7,46.8,2019,8,11
2019-08-12,1.9,23.376218487394958,0,0.028571428571428574,51.6,62.1,41.4,2019,8,12
2019-08-13,2.5,23.436218487394957,0,0.1,54.1,69.8,40.8,2019,8,13
2019-08-14,3,23.42621848739496,0,0.028571428571428574,56.8,71.8,43.2,2019,8,14
2019-08-15,2.6,23.386218487394956,0,0.1,56.8,69.6,46.6,2019,8,15
2019-08-16,2.6,23.296218487394956,0,0.028571428571428574,55.4,67.1,41.7,2019,8,16
2019-08-17,1.3,23.17621848739496,0,0.028571428571428574,51.4,62.6,41.5,2019,8,17
2019-08-18,2.8,23.196218487394958,0,0,55.9,72.5,40.5,2019,8,18
2019-08-19,3.1,23.216218487394958,0,0,62.4,79.2,45,2019,8,19
2019-08-20,4.4,23.33621848739496,0,0,61.2,76.1,48.9,2019,8,20
2019-08-21,6.8,23.33621848739496,0,0,62.6,78.3,49.1,2019,8,21
2019-08-22,5.1,23.166218487394957,0,0,54.5,67.6,41.9,2019,8,22
2019-08-23,2.2,23.306218487394958,0,0,53.2,67.3,41,2019,8,23
2019-08-24,2.6,23.226218487394956,0,0,59.4,71.6,47.8,2019,8,24
2019-08-25,2.8,23.196218487394958,0,0.014285714285714287,53.4,66.9,41.9,2019,8,25
2019-08-26,2,23.376218487394958,0,0.014285714285714287,50.4,61.5,40.3,2019,8,26
2019-08-27,2.9,23.436218487394957,0,0.1,50.4,66.2,36.1,2019,8,27
2019-08-28,3.1,23.33621848739496,0,0.014285714285714287,58.8,75.9,43,2019,8,28
2019-08-29,4.9,23.346218487394957,0,0.014285714285714287,55,70.3,41.7,2019,8,29
2019-08-30,3.5,23.33621848739496,0,0.014285714285714287,55.9,71.2,44.6,2019,8,30
2019-08-31,2.8,23.376218487394958,0,0.014285714285714287,58.6,75.9,44.6,2019,8,31
2019-09-01,3,23.326218487394957,0,0.2,61,78.1,47.1,2019,9,1
2019-09-02,4.3,23.286218487394958,0,0.2,61.5,77.4,46.9,2019,9,2
2019-09-03,3.8,23.40621848739496,0,0.2,59,77.9,43.3,2019,9,3
2019-09-04,3.7,23.306218487394958,0,0.2,65.7,81.1,49.6,2019,9,4
2019-09-05,3.2,23.40621848739496,0,0.2,62.2,81.5,46.8,2019,9,5
2019-09-06,5.2,23.40621848739496,0,1.1,55.2,68.4,49.1,2019,9,6
2019-09-07,1.3,23.40621848739496,0,0.3,50.7,56.8,47.5,2019,9,7
2019-09-08,8,23.236218487394957,0,0.7,47.5,51.8,45.1,2019,9,8
2019-09-09,3.3,23.136218487394956,0,1.7,46,54.3,39.4,2019,9,9
2019-09-10,2.5,23.236218487394957,0,0.5,43.3,48,36.9,2019,9,10
2019-09-11,1.8,23.316218487394956,0,0.3,43,46.6,37.6,2019,9,11
2019-09-12,2.4,23.49621848739496,0,0.2,48.4,56.7,40.3,2019,9,12
2019-09-13,3.6,23.416218487394957,0,0.1,55.4,65.5,45.1,2019,9,13
2019-09-14,3.3,23.316218487394956,0,0.5,59.2,69.4,46.4,2019,9,14
2019-09-15,4.8,23.196218487394958,0,0.18571428571428572,64.6,77.4,52.9,2019,9,15
2019-09-16,5.9,23.076218487394957,0,0.18571428571428572,58.3,75,45.5,2019,9,16
2019-09-17,5.8,23.096218487394957,0,0.18571428571428572,47.1,51.3,38.7,2019,9,17
2019-09-18,4.2,23.206218487394956,0,0.18571428571428572,49.6,64.6,35.8,2019,9,18
2019-09-19,3.4,23.17621848739496,0,0.18571428571428572,47.5,61.3,37,2019,9,19
2019-09-20,2.5,23.186218487394957,0,0.9,39.4,42.8,37.2,2019,9,20
2019-09-21,2.5,23.286218487394958,0,0.4,42.1,50.4,38.5,2019,9,21
2019-09-22,1.9,23.276218487394956,0,0.1,48.9,59.2,42.3,2019,9,22
2019-09-23,3.2,23.256218487394957,0,0.09999999999999999,53.8,62.1,44.8,2019,9,23
2019-09-24,1.9,23.296218487394956,0,0.09999999999999999,52.3,58.1,48,2019,9,24
2019-09-25,2,23.316218487394956,0,0.09999999999999999,48.4,54,40.3,2019,9,25
2019-09-26,3.4,23.166218487394957,0,0.09999999999999999,50,58.6,40.3,2019,9,26
2019-09-27,2.2,23.116218487394956,0,0.09999999999999999,41,50.4,34.2,2019,9,27
2019-09-28,10.1,23.066218487394956,0,0.6,31.6,34.2,25.3,2019,9,28
2019-09-29,3.5,23.056218487394958,2,0.2,27,33.3,23.7,2019,9,29
2019-09-30,1.1,23.236218487394957,2,0.2,27.87142857142857,35.1,23.2,2019,9,30
2019-10-01,1.7,23.296218487394956,1,0.1142857142857143,30.2,36.3,28,2019,10,1
2019-10-02,3.7,23.316218487394956,1,0.1142857142857143,31.5,39.4,24.4,2019,10,2
2019-10-03,3.5,23.316218487394956,0.8571428571428571,0.1,36.3,51.4,25.7,2019,10,3
2019-10-04,4.1,23.186218487394957,0.8571428571428571,0.1,36.7,43.5,31.5,2019,10,4
2019-10-05,4.7,23.386218487394956,0.8571428571428571,0.2,33.4,36.3,32.2,2019,10,5
2019-10-06,2.7,23.506218487394957,1,0.17142857142857143,40.1,46.2,32.4,2019,10,6
2019-10-07,3.2,23.366218487394956,1,0.17142857142857143,50.2,57.6,40.6,2019,10,7
2019-10-08,6.6,23.036218487394958,1.7142857142857142,0.17142857142857143,45,58.5,22.1,2019,10,8
2019-10-09,4.7,23.17621848739496,1.7142857142857142,0.3,16.5,22.3,8.6,2019,10,9
2019-10-10,2.4,23.51621848739496,6,0.5,18.5,27.7,11.5,2019,10,10
2019-10-11,2.1,23.526218487394956,2,0.4,29.8,38.1,13.8,2019,10,11
2019-10-12,2.1,23.346218487394957,2,0.17142857142857143,40.8,48.6,29.1,2019,10,12
2019-10-13,2.9,23.196218487394958,1,0.1142857142857143,45,55.9,30.9,2019,10,13
2019-10-14,2.9,23.15621848739496,1,0.1142857142857143,38.3,46.4,26.8,2019,10,14
2019-10-15,2.8,23.396218487394957,0.2857142857142857,0.1142857142857143,42.6,53.4,25.2,2019,10,15
2019-10-16,2.5,23.276218487394956,0.2857142857142857,0.1142857142857143,54,62.6,48.4,2019,10,16
2019-10-17,3.9,22.976218487394956,0.2857142857142857,0.4,46.9,58.5,33.8,2019,10,17
2019-10-18,5.6,23.026218487394956,0.2857142857142857,0.1142857142857143,33.8,37.2,30,2019,10,18
2019-10-19,4,23.036218487394958,0.2857142857142857,0.4,33.3,40.3,30,2019,10,19
2019-10-20,2.4,23.08621848739496,2,0.17142857142857143,30.4,39.4,21.2,2019,10,20
2019-10-21,1.7,23.256218487394957,3,0.5,32.2,35.2,26.8,2019,10,21
2019-10-22,2.9,23.306218487394958,6,0.3,38.3,46,31.5,2019,10,22
2019-10-23,2.3,23.396218487394957,4,0.17142857142857143,28.6,36.9,18.9,2019,10,23
2019-10-24,1.5,23.556218487394958,2,0.1,34.9,43.9,22.1,2019,10,24
2019-10-25,3.1,23.40621848739496,2,0.17142857142857143,48.7,56.1,41.4,2019,10,25
2019-10-26,4.6,23.186218487394957,2,0.3,23.9,46.8,10.8,2019,10,26
2019-10-27,2.8,23.456218487394956,6,0.1,12,20.3,1,2019,10,27
2019-10-28,2.8,23.286218487394958,5,0.5,11.3,21.6,9.785714285714285,2019,10,28
2019-10-29,3.4,23.466218487394958,10,0.1,19.742857142857144,15.3,-9,2019,10,29
2019-10-30,2,23.51621848739496,7,0.2,19.9,31.1,1.2,2019,10,30
2019-10-31,2.2,23.436218487394957,8,0.1,29.3,33.6,23.2,2019,10,31
2019-11-01,1.5,23.546218487394956,9,0.14285714285714285,27.9,34.9,18.3,2019,11,1
2019-11-02,2.8,23.476218487394956,8,0.14285714285714285,37.8,40.8,33.8,2019,11,2
2019-11-03,1.4,23.316218487394956,6,0.014285714285714287,37,40.5,32.7,2019,11,3
2019-11-04,2.1714285714285713,19.810504201680672,6,0.014285714285714287,33.3,37.34285714285714,28.37142857142857,2019,11,4
2019-11-05,1.1,23.326218487394957,8,0.014285714285714287,38.3,46.8,27.3,2019,11,5
2019-11-06,5.6,23.446218487394958,7,0.014285714285714287,20.7,27.3,14.7,2019,11,6
2019-11-07,1.5,23.536218487394958,7,0.1,41.5,43.2,38.5,2019,11,7
2019-11-08,2.7,23.456218487394956,7,0.014285714285714287,47.8,52.2,41.9,2019,11,8
2019-11-09,2.9,23.35621848739496,7,0.014285714285714287,47.8,51.4,43.5,2019,11,9
2019-11-10,4.6,23.316218487394956,6,0.2,24.3,44.4,4.6,2019,11,10
2019-11-11,3.4,23.646218487394957,7,0.17142857142857143,18.7,37.6,-0.9,2019,11,11
2019-11-12,2.6,23.35621848739496,7,0.3,41.2,47.7,34.5,2019,11,12
2019-11-13,2.4,23.276218487394956,7,0.4,32.4,39.7,22.8,2019,11,13
2019-11-14,2.7,23.376218487394958,7,0.3,38.7,47.5,22.8,2019,11,14
2019-11-15,2.8,23.296218487394956,7,0.17142857142857143,45.7,51.6,33.6,2019,11,15
2019-11-16,1.9,23.33621848739496,7,0.17142857142857143,36.7,42.4,34.3,2019,11,16
2019-11-17,3,23.35621848739496,7,0.2,42.1,46.2,36.3,2019,11,17
